,age,comment,commodities,commodities_string,geometry,id,latitude,longitude,name
872,,Forrestania - Bounty project,['Au'],Au,POINT (119.608124 -32.11233499999999),334535,-32.112334999999995,119.608124,Teddy Bear
873,,Part of Northcote project,['Au'],Au,POINT (145.192183 -16.989911),334536,-16.989911,145.192183,Emily
874,,"Formerly part of WMCR Kambalda operations, now owned by Independence Group NL","['Ni', 'Cu']",Ni;Cu,POINT (121.677505 -31.178543),334537,-31.178542999999998,121.67750500000001,Long
875,,"No current owner, resources are confidential","['REE', 'Ti', 'Zr']",REE;Ti;Zr,POINT (115.02121 -33.665726),334538,-33.665726,115.02121000000001,Smiths Beach
876,,"Deposit owned by Cable Sands, resources are not known","['REE', 'Ti', 'Th', 'Zr']",REE;Ti;Th;Zr,POINT (118.396225 -34.835159),334539,-34.835159000000004,118.396225,Hassell Beach
877,Archaean,"Includes Stockpiles, Greenfields and Caledonia North Extended deposits",['Au'],Au,POINT (121.1984 -30.927),334540,-30.927,121.1984,Three Mile Hill Project
878,Archean,Mining in 2011-2012 is from underground resources,['Au'],Au,POINT (128.8319 -19.8989),334541,-19.8989,128.8319,Coyote
879,,nan,"['Ag', 'Au', 'Bi']",Ag;Au;Bi,POINT (146.037 -41.4978),334542,-41.4978,146.037,Stormont
880,Cainozoic,nan,"['Ni', 'PGE', 'Co']",Ni;PGE;Co,POINT (120.9966292 -30.23634069),334543,-30.23634069,120.99662920000002,Ora Banda
881,,nan,"['REE', 'Ti', 'Th', 'Zr']",REE;Ti;Th;Zr,POINT (115.938797 -32.46423),334544,-32.46423,115.938797,Keysbrook
882,Ordovician,nan,"['Ag', 'Zn', 'Cu', 'Pb', 'Au']",Ag;Zn;Cu;Pb;Au,POINT (144.689 -18.7904),334545,-18.7904,144.689,Dry River South
883,,nan,"['REE', 'Ti', 'Th', 'Zr']",REE;Ti;Th;Zr,POINT (115.178482 -34.305012),334547,-34.305012,115.178482,Swan Lake
884,,nan,['Au'],Au,POINT (127.8458 -18.3237),334548,-18.3237,127.8458,Golden Crown Project - Halls Creek
885,Archean,nan,['Au'],Au,POINT (120.5695 -27.9751),334549,-27.9751,120.5695,Vivien - Sir Samuel
886,Proterozoic,nan,['Au'],Au,POINT (118.3567178 -25.31641538),334551,-25.31641538,118.35671780000001,Fortnum
887,Archaean,nan,['Au'],Au,POINT (119.3311569 -31.23702892),334552,-31.23702892,119.33115690000001,Frasers
888,Archaean,nan,['Au'],Au,POINT (122.0694251 -28.76685793),334553,-28.76685793,122.06942509999999,Mount Morgans
889,Precambrian,nan,['Fe'],Fe,POINT (119.6777865 -23.35573681),334554,-23.35573681,119.6777865,Mount Newman (Mount Whaleback - BHP)
890,Early Devonian,"409.3+-4.2 Ma, min; ref *15713","['Au', 'Cu']",Au;Cu,POINT (148.19707 -32.721353),334555,-32.721353,148.19707,"Peak Hill (Cu, Au)"
891,Archaean,nan,['Au'],Au,POINT (121.0540179 -29.74720714),334556,-29.74720714,121.0540179,Princess May
892,Archaean,nan,['Au'],Au,POINT (121.0146404 -30.59594643),334557,-30.59594643,121.0146404,Kintore
893,Precambrian,nan,['Fe'],Fe,POINT (117.4063988 -21.94105473),334558,-21.94105473,117.40639879999999,Mount Pyrton
894,Archaean,nan,"['V', 'PGE', 'Fe', 'Ti']",V;PGE;Fe;Ti,POINT (118.5352 -28.2993),334559,-28.2993,118.5352,Windimurra
895,Palaeozoic,nan,['Au'],Au,POINT (146.2199767 -20.12183468),334560,-20.12183468,146.2199767,Stockholm Cross
896,Palaeozoic,Middle Devonian or Carboniferous age of mineralisation,['Au'],Au,POINT (148.122975 -33.16344299),334561,-33.16344299,148.122975,Parkes Goldfield
897,Proterozoic,nan,['Cu'],Cu,POINT (140.2760193 -20.96203074),334563,-20.96203074,140.27601930000003,Daisy
898,Proterozoic,nan,['Cu'],Cu,POINT (139.4891874 -20.40958129),334564,-20.40958129,139.48918740000002,Lady Agnes
899,Proterozoic,nan,"['Au', 'Cu']",Au;Cu,POINT (139.8100177 -21.19403249),334565,-21.19403249,139.8100177,Perseverence
900,Archaean,"3260 Ma; Pb-Pb model age; ref *15593, *15592","['Ag', 'Zn', 'Cu', 'Pb', 'Au']",Ag;Zn;Cu;Pb;Au,POINT (119.2054772 -21.14700476),334568,-21.14700476,119.20547720000002,Sulphur Springs
901,Palaeozoic,nan,['Au'],Au,POINT (144.7584999 -19.4095657),334569,-19.4095657,144.7584999,Big Rush
902,Permian,possibly 274 +- 10 Ma according to *17567,"['Ag', 'Zn', 'Pb']",Ag;Zn;Pb,POINT (149.8692809 -32.63056707),334570,-32.63056707,149.8692809,Bowdens
903,,nan,"['Ag', 'Au', 'Cu']",Ag;Au;Cu,POINT (118.6213 -25.3617),334572,-25.3617,118.6213,Horseshoe Lights Mine
904,,Also known as Snake Well,['Au'],Au,POINT (115.8942587 -28.01015235),334573,-28.01015235,115.89425870000001,Carlinga Well
905,Devonian,Part of the Costerfield Project of Mandalay Resources Corporation,"['Au', 'Sb']",Au;Sb,POINT (144.7912 -36.8869),334574,-36.8869,144.7912,Brunswick
906,,9 Km Sw Of Kalgoorlie.,['Au'],Au,POINT (121.398 -30.8101),334576,-30.8101,121.398,Walsh
907,,"B4upd>10km(30):-In The Small Oakville Goldfield, 50 Km South Of Forsayth.",['Au'],Au,POINT (143.6951112 -18.83949252),334577,-18.83949252,143.69511119999999,Jubilee Plunger
908,,nan,['Au'],Au,POINT (118.8078614 -28.85117298),334578,-28.85117298,118.80786140000001,Penny West
909,Archean,nan,['Au'],Au,POINT (121.3804 -29.198),334581,-29.198,121.3804,Butterfly
910,,"At Menzies, Between Kalgoorlie & Leonora.",['Au'],Au,POINT (121.0347693 -29.69612595),334582,-29.69612595,121.0347693,First Hit
911,Archean,nan,['Au'],Au,POINT (119.4891 -25.321),334586,-25.320999999999998,119.4891,Perch
912,,nan,['Au'],Au,POINT (122.5817093 -31.2103269),334587,-31.2103269,122.58170929999999,French Kiss South
913,,nan,['Sn'],Sn,POINT (145.2602313 -15.74940095),334588,-15.74940095,145.26023130000002,Rossville
914,,Location Data From Western Australian Minedex Database;,['Au'],Au,POINT (121.39561 -30.82919711),334589,-30.82919711,121.39561,Beaver
915,,Also Called Pigna Barney,['Fe'],Fe,POINT (151.514319 -31.76704409),334591,-31.76704409,151.514319,Tomalla
916,,Location From Western Australia Department Of Minerals And Energy'S Minedex Database;,['Au'],Au,POINT (122.5547633 -31.06750406),334592,-31.06750406,122.55476329999999,Tank Anomaly
917,,11-50m Accuracy; From Approximate Centre Of Orebody;,['Au'],Au,POINT (130.0747 -19.0747),334594,-19.0747,130.0747,Crusade
918,Archean,nan,['Au'],Au,POINT (121.8813 -31.1339),334597,-31.1339,121.8813,Coogee
919,,Part Of Youanmi Project,['Au'],Au,POINT (118.842554 -28.61366766),334599,-28.61366766,118.842554,Empire
920,,nan,['PGE'],PGE,POINT (116.2608717 -31.09075355),334600,-31.09075355,116.2608717,Yarawindah Brook
921,Archean,nan,['Au'],Au,POINT (119.4172 -27.2576),334601,-27.2576,119.4172,Shrike North
922,Archean,nan,['Au'],Au,POINT (120.6409 -30.2826),334602,-30.2826,120.6409,Two Gum Dam
923,Archean,nan,['Au'],Au,POINT (121.0561 -30.5262),334605,-30.5262,121.0561,Zuleika - Bullant (Centaur Mining)
924,,Centroid Of Plan View Of Orebody; Accuracy 51 To 100 Meters;,['Au'],Au,POINT (121.7005954 -30.15138229),334606,-30.15138229,121.70059540000001,Seven Leaders
925,,nan,['Sn'],Sn,POINT (118.9196749 -20.99240724),334607,-20.99240724,118.9196749,Pilgangoora
926,,nan,['Au'],Au,POINT (134.3979 -19.5964),334608,-19.5964,134.3979,Billy Boy
927,,nan,"['Ni', 'Co']",Ni;Co,POINT (122.085007 -30.53476),334609,-30.53476,122.085007,Kurnalpi
928,,Part of the Jangardup-D'Entrecasteaux project of Cable Sands,"['REE', 'Ti', 'Th', 'Zr']",REE;Ti;Th;Zr,POINT (115.656784 -34.400177),334610,-34.400177,115.656784,Jangardup South
929,,Owned by Simto Resources Ltd,"['REE', 'Ti', 'Th', 'Zr']",REE;Ti;Th;Zr,POINT (123.869217 -33.600922),334611,-33.600922,123.86921699999999,Israelite Bay
930,,Owned and operated by Cable Sands;,"['Ti', 'Zr']",Ti;Zr,POINT (115.91777 -32.965946),334613,-32.965946,115.91776999999999,Yarloop
931,,Part of the Sandalwood project of Cable Sands,"['Ti', 'Zr']",Ti;Zr,POINT (115.864761 -33.179932),334614,-33.179932,115.86476100000002,Sandalwood-Benger Central
932,,Former mine of Cable Sands,"['Ti', 'Zr']",Ti;Zr,POINT (115.533737 -33.562164),334615,-33.562164,115.53373700000002,Prowse
933,Archean,"Focus Minerals acquired Crescent Gold in 2012 and has now started reporting agglomerated mineral resources under projects. Barnicoat  Project includes Castaway, Admiral Hill, Black Label, Shes Right, Grouse, Barnicoat, Bells, Sickle, Ida H, and Lilly Pond Well deposits.",['Au'],Au,POINT (122.4778 -28.5473),334616,-28.5473,122.4778,Admiral Hill
934,,nan,['Au'],Au,POINT (121.494507 -31.380096),334619,-31.380096,121.49450700000001,Wattle Dam
935,,nan,['Au'],Au,POINT (118.309982 -25.320053),334620,-25.320053,118.309982,Nathans
936,Archean,Any resources for this deposit in 2012 were reported by Focus Minerals Limited under the Central Laverton Project.,['Au'],Au,POINT (122.3967 -28.7274),334621,-28.7274,122.3967,Euro - Laverton
937,,nan,['Au'],Au,POINT (122.648041 -28.785431),334622,-28.785431,122.64804099999999,Karridale
938,Archean,Any resources for this deposit in 2012 were reported by Focus Minerals Limited under the Barnicoat Project.,['Au'],Au,POINT (122.5147 -28.8092),334623,-28.8092,122.5147,Lilly Pond Well
939,,nan,['Au'],Au,POINT (131.221253 -13.30862),334626,-13.308620000000001,131.221253,Mount Tymn
940,,nan,['Au'],Au,POINT (121.246735 -29.70723),334627,-29.70723,121.24673500000002,Golden Age
941,,nan,"['REE', 'Ti', 'Th', 'Zr']",REE;Ti;Th;Zr,POINT (115.49828 -33.74525),334628,-33.74525,115.49828000000001,Whicher Scarp
942,Proterozoic,nan,"['Ag', 'Zn', 'Cu', 'Pb', 'Au']",Ag;Zn;Cu;Pb;Au,POINT (118.5872794 -24.64310061),334629,-24.64310061,118.5872794,Abra
943,Devonian,nan,"['Ag', 'Au', 'Cu']",Ag;Au;Cu,POINT (146.8156 -41.2021),334630,-41.2021,146.8156,Beaconsfield
944,Palaeozoic,nan,"['U', 'V']",U;V,POINT (131.0300097 -22.21715845),334631,-22.21715845,131.0300097,Bigrlyi
945,Archaean,nan,['Au'],Au,POINT (119.5644647 -31.54672907),334632,-31.54672907,119.56446470000002,Great Victoria
946,Archaean,nan,['Au'],Au,POINT (121.466992 -30.72461646),334633,-30.72461646,121.46699199999999,Hannans North
947,Archaean,Location placed at about Cable deposit in the papaeovalley deposit system,['Au'],Au,POINT (121.2159 -30.499),334634,-30.499000000000002,121.2159,Lady Bountiful Extended
948,Cretaceous,85km inland from Onslow; mineralisation is Cretaceous or younger,['U'],U,POINT (115.1830373 -22.40941536),334635,-22.40941536,115.1830373,Manyingee
949,Palaeoproterozoic,"1766+-80 Ma, ref 88/26070","['U', 'REE', 'Th']",U;REE;Th,POINT (140.0130208 -20.74603301),334636,-20.74603301,140.01302080000002,Mary Kathleen
950,Palaeoproterozoic,1825 - 1830 Ma according to ref *11601,"['Ag', 'Au', 'Bi', 'Cu']",Ag;Au;Bi;Cu,POINT (134.2901378 -19.71147573),334637,-19.71147573,134.2901378,Nobles Nob
951,Neoproterozoic,suggested it may be a later replacement deposit - possibly Palaeozoic,"['V', 'Fe']",V;Fe,POINT (145.2044288 -41.4879824),334638,-41.4879824,145.20442880000002,Savage River (Tas - Grange Resources)
952,Archaean,nan,['Au'],Au,POINT (121.3328 -28.917),334640,-28.916999999999998,121.3328,Sons of Gwalia
953,Archaean,Any 2012 resources are reported in the agglomerated figures for the Tindals Project.,['Au'],Au,POINT (121.1741 -30.9882),334641,-30.9882,121.1741,Tindals
954,Archean,"Moonlight, Bulletin, Happy Jack, Calais, Golden Age",['Au'],Au,POINT (120.2521 -26.6318),334642,-26.6318,120.2521,Wiluna Project
955,Devonian,nan,"['Ag', 'Au']",Ag;Au,POINT (150.3830061 -34.92985493),334643,-34.92985493,150.3830061,Yalwal
956,Archaean,nan,['Au'],Au,POINT (117.8329 -28.0651),334644,-28.0651,117.8329,Saint George
957,Archaean,3470 Ma,"['Ag', 'Zn', 'Cu', 'Pb']",Ag;Zn;Cu;Pb,POINT (119.7531736 -21.21649676),334645,-21.21649676,119.7531736,Big Stubby
958,Archaean,nan,"['Ag', 'Zn', 'Cu', 'Pb']",Ag;Zn;Cu;Pb,POINT (117.6970249 -27.05344484),334646,-27.05344484,117.6970249,Mount Mulcahy
959,Proterozoic,nan,['Fe'],Fe,POINT (139.5652138 -20.58008941),334648,-20.58008941,139.5652138,Mount Philp
960,Archaean,"2707 ± 4 Ma - Rhyolite porphyry clast (dacitic lava) interlayered with komatiites of Kambalda Komatiite Sequence. See Kositcin et al. (in press) - Precambrain Research.
2712 ± 6 Ma - Volcanogenic rhyolitic conglomerate interlayered with komatiites of Kambalda Komatiite Sequence. See Kositcin et al. (in press) - Precambrain Research.


",['Ni'],Ni,POINT (121.6519942 -30.39339174),334649,-30.39339174,121.6519942,Black Swan
961,Late Ordovician,nan,['Au'],Au,POINT (147.4857632 -36.83588398),334650,-36.83588398,147.4857632,Sunnyside Goldfield
962,Proterozoic,nan,"['Au', 'Cu']",Au;Cu,POINT (140.6251821 -20.83155164),334655,-20.83155164,140.6251821,Brilliant
963,Proterozoic,nan,"['Au', 'Cu']",Au;Cu,POINT (140.2701926 -20.98455573),334656,-20.98455573,140.2701926,Diagonal
964,Proterozoic,nan,"['Au', 'Cu']",Au;Cu,POINT (140.4661858 -21.44454941),334657,-21.44454941,140.4661858,Labour Victory
965,Proterozoic,nan,"['Au', 'Cu']",Au;Cu,POINT (140.196184 -20.27155987),334658,-20.27155987,140.19618400000002,Magnet
966,Proterozoic,nan,['Cu'],Cu,POINT (139.9271886 -20.18756387),334659,-20.18756387,139.9271886,Mount Metallic
967,Proterozoic,nan,['Cu'],Cu,POINT (139.9061934 -21.04455912),334660,-21.04455912,139.9061934,Overlander
968,Proterozoic,nan,"['Au', 'Cu']",Au;Cu,POINT (140.0961965 -20.96555797),334661,-20.96555797,140.09619650000002,Pommern
969,Proterozoic,nan,"['Au', 'Cu']",Au;Cu,POINT (139.889196 -20.58356221),334662,-20.58356221,139.889196,Trey Bit
970,Archaean,Central Pit has suffered 2 wall failures in the past couple of years. Most project ore 2012 coming from the Cockburn Pit (Mt McClure group).,['Au'],Au,POINT (121.0012 -27.382),334666,-27.381999999999998,121.0012,Bronzewing Central
971,Archaean,nan,['Au'],Au,POINT (121.7924 -32.1134),334667,-32.1134,121.7924,Harlequin
972,,B4upd<10km(2.4):-Deposit Is Located 8 Km West Of Zeehan;,['Fe'],Fe,POINT (145.2814001 -41.88854091),334669,-41.88854091,145.28140009999998,Comstock
973,,Deposit Located 145 Km North Of Southern Cross;,['Fe'],Fe,POINT (119.2681264 -29.91285796),334670,-29.91285796,119.2681264,Pigeon Rocks
974,,The project includes the Mt Clement and Eastern Hills deposits,"['Ag', 'Au', 'Sb', 'Pb']",Ag;Au;Sb;Pb,POINT (116.118 -22.829),334672,-22.829,116.118,Mount Clement Project
975,,Sourced From Minloc - Id_Minloc=125986,['Sn'],Sn,POINT (147.8346631 -40.82875689),334673,-40.82875689,147.8346631,Ringarooma Bay
976,,nan,"['Ag', 'Zn', 'Cu', 'Pb']",Ag;Zn;Cu;Pb,POINT (119.7147156 -25.50357985),334675,-25.50357985,119.71471559999999,Thaduna
977,,B4upd<500m(3):-17 Km East Of Ravensthorpe,['Ni'],Ni,POINT (120.300598 -33.604198),334676,-33.604198,120.300598,Rav 8
978,,nan,"['Ag', 'Zn', 'PGE', 'Pb']",Ag;Zn;PGE;Pb,POINT (145.1840842 -17.34548418),334677,-17.34548418,145.1840842,West Orient
979,,Deposit Located 8 Km West Northwest Of Peak Hill;,['Mn'],Mn,POINT (118.65 -25.6059),334678,-25.6059,118.65,Mudderwearie
980,,nan,"['Ag', 'Zn', 'Cu', 'Pb', 'Au']",Ag;Zn;Cu;Pb;Au,POINT (149.5027792 -34.98381761),334681,-34.98381761,149.5027792,Currawang East
981,,nan,"['Zn', 'Pb']",Zn;Pb,POINT (138.8178604 -18.7955956),334682,-18.795595600000002,138.8178604,Kamarga
982,,Location From Gazetter Of Australia,['Mn'],Mn,POINT (119.705803 -24.41172),334683,-24.411720000000003,119.705803,Yanneri Ridge
983,,nan,['Sn'],Sn,POINT (145.301059 -15.22851701),334688,-15.22851701,145.301059,Lee Creek
984,,nan,['Au'],Au,POINT (121.5315409 -31.06813856),334689,-31.06813856,121.5315409,Samphire
985,,nickel production anticipated in first quarter of 2008,"['Ni', 'Co']",Ni;Co,POINT (145.2485036 -41.92026948),334692,-41.92026948,145.2485036,Avebury
986,,nan,['Sn'],Sn,POINT (145.8010919 -18.97845542),334694,-18.97845542,145.8010919,Kallanda
987,,Minloc Location.,['Cu'],Cu,POINT (122.2713626 -22.14596273),334696,-22.14596273,122.27136259999999,Eva Well
988,,Part Of Reedy Project.,['Au'],Au,POINT (118.3666761 -27.1025255),334697,-27.1025255,118.36667609999999,Paddy's West
989,,Operating status uncertain. Unverified reports that Alan Bond and Associates are mining this deposits with little confirmation available,"['Ti', 'Sn', 'Th', 'REE', 'Zr']",Ti;Sn;Th;REE;Zr,POINT (144.1059007 -39.90733033),334702,-39.90733033,144.1059007,Naracoopa
990,Archean,nan,['Au'],Au,POINT (118.4264 -26.6987),334703,-26.6987,118.4264,Lukes Junction
991,,7km East Of Emmaville.,['Sn'],Sn,POINT (151.6677449 -29.42857853),334704,-29.42857853,151.6677449,Tent Hill
992,,North Of Mildura,"['REE', 'Ti', 'Th', 'Zr']",REE;Ti;Th;Zr,POINT (142.2799769 -33.33700748),334706,-33.33700748,142.2799769,Laburnum
993,,nan,['Au'],Au,POINT (121.535583 -30.816193),334709,-30.816193,121.535583,Josh Tails
994,,Owned by Doral Mineral Sands Pty Ltd. Confirmed with Roger Cooper of GSWA that the mine is still operated by Doral but no resources available because it is a private company.,"['Ti', 'Zr']",Ti;Zr,POINT (115.805012 -33.353734),334710,-33.353734,115.805012,Dardanup_Doral
995,,Closed mine owned by ISK,"['Ti', 'Zr']",Ti;Zr,POINT (115.929245 -32.875977),334711,-32.875977,115.929245,Waroona (ISK)
996,,"Forms part of Forrestania Nickel project ( Deposit no 2273 ), owned by Western Areas NL",['Ni'],Ni,POINT (119.7378599 -32.53762123),334712,-32.53762123,119.73785990000002,Liquid Acrobat
997,Archean,Any resources for this deposit in 2012 were reported by Focus Minerals Limited under the Barnicoat Project.,['Au'],Au,POINT (122.5001 -28.6152),334714,-28.6152,122.5001,Grouse
998,,Located 130 NNW of Alice Springs,"['U', 'REE', 'Th']",U;REE;Th,POINT (133.238557 -22.59385),334715,-22.59385,133.23855700000001,Nolans Bore
999,,Global resources equal aggegrate of past production,['Au'],Au,POINT (144.12944 -37.33367),334716,-37.33367,144.12944,Ajax
1000,,Global resources are aggregate of past production. No current resources.,['Au'],Au,POINT (143.86201 -37.57159),334717,-37.57159,143.86201,Cornish Co
1001,,nan,['Au'],Au,POINT (121.01506 -29.683586),334718,-29.683586,121.01506,Selkirk
1002,Early Palaeozoic,probably Cambrian or Ordovician,"['Ag', 'Zn', 'Bi', 'Cu', 'Sb', 'Pb', 'Au']",Ag;Zn;Bi;Cu;Sb;Pb;Au,POINT (145.7699 -20.3419),334719,-20.3419,145.7699,Thalanga
1003,Archaean,nan,['Au'],Au,POINT (121.1730485 -30.92284838),334720,-30.92284838,121.17304850000001,Bonnievale
1004,Devonian,nan,['Au'],Au,POINT (146.5330684 -20.12543073),334721,-20.12543073,146.53306840000002,Rishton
1005,Archaean,The deposit is part of Westgold Resources Day Dawn Project.,['Au'],Au,POINT (117.8528 -27.4656),334722,-27.4656,117.8528,Golden Crown - Cue
1006,Permian,nan,['Sn'],Sn,POINT (144.7341773 -14.78432953),334723,-14.78432953,144.7341773,Jeannie River
1007,Late Triassic,nan,"['Ag', 'Au']",Ag;Au,POINT (151.7641 -25.2713),334724,-25.2713,151.7641,Mount Rawdon
1008,Proterozoic,nan,"['Ag', 'Au']",Ag;Au,POINT (131.7905 -13.714),334726,-13.714,131.7905,Union Reefs
1009,Palaeozoic,nan,['Au'],Au,POINT (147.2098264 -33.92336313),334727,-33.92336313,147.2098264,West Wyalong
1010,Devonian,nan,"['W', 'Fe', 'Sn']",W;Fe;Sn,POINT (145.7720113 -41.30999557),334729,-41.30999557,145.7720113,Kara Mine (Tasmania Mines)
1011,Archaean,nan,['Au'],Au,POINT (122.1611037 -29.71286991),334730,-29.71286991,122.1611037,Yilgangi
1012,Cainozoic,nan,['Au'],Au,POINT (147.3175 -41.2253),334731,-41.2253,147.3175,Lisle
1013,Permian,Carboniferous-Permian,"['W', 'Bi', 'Mo']",W;Bi;Mo,POINT (144.9264904 -17.30598679),334733,-17.30598679,144.9264904,Bamford Hill
1014,Late Cambrian,nan,"['Zn', 'Pb']",Zn;Pb,POINT (138.434438 -30.675241),334734,-30.675240999999996,138.434438,Beltana
1015,Late Ordovician,"Within the Bendigo Goldfield, on the New Chum line of reefs.",['Au'],Au,POINT (147.5239226 -36.83751158),334735,-36.83751158,147.5239226,Catherine
1016,Archaean,nan,['Au'],Au,POINT (121.1049 -30.5642),334736,-30.5642,121.1049,Broads Dam
1017,Late Ordovician,nan,['Au'],Au,POINT (144.250012 -37.07999088),334737,-37.07999088,144.250012,Eaglehawk
1018,Archaean,nan,['Au'],Au,POINT (119.4437 -25.3171),334738,-25.3171,119.4437,Plutonic
1019,Silurian,nan,"['Ag', 'Zn', 'Cu', 'Pb', 'Au']",Ag;Zn;Cu;Pb;Au,POINT (149.5032012 -34.9839746),334739,-34.9839746,149.50320119999998,Currawang
1020,Precambrian,nan,['Fe'],Fe,POINT (119.1927887 -23.27964359),334742,-23.27964359,119.19278870000001,Giles
1021,Proterozoic,nan,"['Au', 'Cu']",Au;Cu,POINT (139.0440158 -19.77305269),334743,-19.77305269,139.0440158,Lady Annie
1022,Proterozoic,nan,['Cu'],Cu,POINT (139.304393 -21.48077055),334744,-21.48077055,139.304393,Bald Hills
1023,Proterozoic,nan,['Cu'],Cu,POINT (140.2871924 -20.99355559),334746,-20.99355559,140.2871924,Chinaman
1024,Proterozoic,nan,['Cu'],Cu,POINT (139.8321964 -20.54556368),334747,-20.54556368,139.83219640000002,Mount Devine
1025,Proterozoic,nan,['Cu'],Cu,POINT (140.0551948 -20.80555959),334748,-20.80555959,140.0551948,Mount Lindsay
1026,Proterozoic,nan,['Cu'],Cu,POINT (139.9731969 -20.8285601),334749,-20.8285601,139.9731969,Rosebud Extended
1027,Proterozoic,nan,"['Au', 'Cu']",Au;Cu,POINT (140.0661886 -20.40756141),334750,-20.40756141,140.0661886,Volga
1028,Proterozoic,nan,['Cu'],Cu,POINT (140.1501903 -20.63755831),334751,-20.63755831,140.15019030000002,Wonder Valley
1029,Proterozoic,nan,"['Au', 'Cu']",Au;Cu,POINT (140.0531928 -20.68455987),334752,-20.68455987,140.0531928,Woolondonga
1030,Proterozoic,nan,"['Ag', 'Cu', 'Co']",Ag;Cu;Co,POINT (140.406653 -21.337814),334753,-21.337814,140.406653,Young Australian
1031,Silurian,ref *11698,"['Ag', 'Au', 'Pb']",Ag;Au;Pb,POINT (143.4931098 -18.37449871),334754,-18.37449871,143.4931098,International
1032,Archaean,2660-2620Ma,['Au'],Au,POINT (121.7692465 -31.32153697),334759,-31.32153697,121.76924650000001,Victory-Defiance
1033,Archaean,nan,['Au'],Au,POINT (120.5997158 -26.36186809),334760,-26.36186809,120.5997158,Barton - Wiluna
1034,,Deposit Located Approximately 35 Km North West Of Copmanhurst;,['Fe'],Fe,POINT (152.6343774 -29.42856371),334761,-29.42856371,152.6343774,Fine Flower
1035,,"Belongs To Jervois Project. In 1.7 X 0.6km Area Along With Bellbird, Green Parrot, Attura And Reward Deposits - Nt Geological Survey ""Copper Deposits Of The Nt"" So Bellbird Lat/Long Used.","['Ag', 'Zn', 'Cu', 'Pb', 'Au']",Ag;Zn;Cu;Pb;Au,POINT (136.26801 -22.65132),334762,-22.651320000000002,136.26801,Marshall - Reward
1036,,12 Km North Of Ballina; Mine Closed In 1992.,"['Ti', 'Zr']",Ti;Zr,POINT (153.5676953 -28.76187759),334763,-28.76187759,153.56769530000003,Newrybar
1037,,B4upd<10km(2.2):-Deposit Located 15 Km Southwest Of Burnie;,['Fe'],Fe,POINT (145.8241741 -41.1977973),334764,-41.1977973,145.8241741,Highclere
1038,,nan,['Au'],Au,POINT (121.2373257 -30.55463762),334765,-30.55463762,121.2373257,Racetrack
1039,,nan,['Au'],Au,POINT (116.3142732 -28.65966979),334766,-28.65966979,116.3142732,New Phoenix
1040,,nan,['Au'],Au,POINT (117.1275561 -27.63199834),334767,-27.63199834,117.12755609999999,Warda Warra
1041,,nan,['Au'],Au,POINT (118.0797362 -27.10727042),334768,-27.10727042,118.0797362,Maybelle
1042,Archean,nan,['Au'],Au,POINT (121.6761 -29.1545),334771,-29.1545,121.6761,Apollo Hill
1043,,nan,['Au'],Au,POINT (122.4180749 -28.44604404),334774,-28.44604404,122.41807490000001,Laverton Downs
1044,,Location Not Accurate.,['Au'],Au,POINT (150.7510434 -25.99528275),334776,-25.99528275,150.75104340000001,Rosehall
1045,,nan,['Sn'],Sn,POINT (145.1535663 -15.6808109),334778,-15.680810899999999,145.15356630000002,Kings Plains
1046,,nan,"['W', 'Sn']",W;Sn,POINT (144.9153884 -17.45678405),334779,-17.45678405,144.9153884,Halpin Creek
1047,,nan,"['REE', 'Ti', 'Th', 'Zr']",REE;Ti;Th;Zr,POINT (142.768011 -36.51219588),334780,-36.51219588,142.768011,Wim 250 (Donald EL4433)
1048,,nan,['Au'],Au,POINT (116.3930728 -28.64405281),334781,-28.64405281,116.39307279999998,Golden Stream
1049,Archean,nan,['Au'],Au,POINT (120.6545 -30.1837),334782,-30.1837,120.6545,Salmon Gums (Carnegie)
1050,,Located 140 Kms NNW of Kalgoorie; 33 kms S of Menzies,"['Ni', 'Co']",Ni;Co,POINT (120.8713077 -29.52751438),334783,-29.52751438,120.8713077,Ghost Rocks
1051,,nan,"['Fe', 'Sn']",Fe;Sn,POINT (145.0557911 -17.70738198),334784,-17.70738198,145.0557911,Gillian
1052,,Woolgar Project,['Au'],Au,POINT (143.3639994 -19.69998215),334785,-19.69998215,143.36399939999998,Perseverance (Woolgar)
1053,,nan,['Fe'],Fe,POINT (134.2841356 -29.88278383),334789,-29.88278383,134.28413559999998,Sequoia (Commonwealth Hill - Apollo Minerals)
1054,,nan,"['Au', 'Cu']",Au;Cu,POINT (148.9854735 -33.44641114),334791,-33.44641114,148.9854735,"White Engine (Cadia, Old Cadia)"
1055,Proterozoic,nan,"['Ag', 'Zn', 'Cu', 'Pb', 'Au']",Ag;Zn;Cu;Pb;Au,POINT (120.2084 -33.7546),334792,-33.7546,120.2084,Trilogy
1056,Archean,nan,['Au'],Au,POINT (120.305222 -21.866135),334794,-21.866135,120.305222,All Nations
1057,Archean,nan,['Au'],Au,POINT (120.7898 -30.3387),334796,-30.3387,120.7898,Chadwin-Magdala
1058,,Part of BHP-Billiton Beenup-Karridale project,"['Ti', 'Zr']",Ti;Zr,POINT (115.215942 -34.102402),334797,-34.102402000000005,115.215942,Alexander Bridge
1059,,Part of the Sandalwood project of Cable Sands;,"['Ti', 'Zr']",Ti;Zr,POINT (115.859924 -33.205311),334799,-33.205311,115.85992399999999,Sandalwood South
